Sat,Lat,Lon,Alt,Date
12,-28.7200246672,-108.8146138835,20366329.7563443854,2019-06-10T00:31:00Z
13,9.5506750507,-60.3616801552,20138071.0594073161,2019-06-10T00:31:00Z
14,-38.7867967109,144.5981733234,19922396.2348131202,2019-06-10T00:31:00Z
15,-8.8968794439,-86.2114126580,20010779.1911685504,2019-06-10T00:31:00Z
16,55.2551503483,124.4641861062,19999928.6197537854,2019-06-10T00:31:00Z
17,-52.4010380359,-11.4411638985,19860158.7604347356,2019-06-10T00:31:00Z
18,-47.8272092275,111.7922804745,20527903.9652676880,2019-06-10T00:31:00Z
19,-41.9697856238,-31.4715083226,20416786.8704014197,2019-06-10T00:31:00Z
20,-12.1590188507,-150.2518451631,20286648.3699815385,2019-06-10T00:31:00Z
21,35.2183780534,-167.0948354752,20576475.3147685565,2019-06-10T00:31:00Z
22,-38.1144108201,77.7137643337,20075861.9142873250,2019-06-10T00:31:00Z
23,27.1383826599,83.0192195927,20152080.0023382008,2019-06-10T00:31:00Z
24,-52.6370774971,-90.2313580884,20285905.7215080634,2019-06-10T00:31:00Z
25,-3.8783616561,-131.2501458816,20334280.2180563137,2019-06-10T00:31:00Z
26,50.3558375330,165.2186909172,20209466.4488864094,2019-06-10T00:31:00Z
27,18.6367564640,118.8954931741,19995829.3598467968,2019-06-10T00:31:00Z
28,-32.5246756980,25.9317477123,19819364.0740371272,2019-06-10T00:31:00Z
29,43.4701234796,-109.1817243094,20165778.8918467872,2019-06-10T00:31:00Z
30,21.5181460261,5.0258902578,20289666.4854778945,2019-06-10T00:31:00Z
31,3.1244781242,165.3795228369,20425863.7863998525,2019-06-10T00:31:00Z
32,-50.1169423972,162.9406848986,20123986.9938481078,2019-06-10T00:31:00Z
1,-55.9572139639,77.9624810269,20347251.6419361755,2019-06-10T00:31:15Z
2,27.6570390530,-39.4661720777,20392552.7750691473,2019-06-10T00:31:15Z
3,-24.7567531053,64.5890703956,20246283.8300256990,2019-06-10T00:31:15Z
4,54.5990974510,27.7984835824,20208514.4905121960,2019-06-10T00:31:15Z
5,53.7264710549,-58.9054463430,20082521.1714385822,2019-06-10T00:31:15Z
